keyword,post_count,degree,strength,betweenness,closeness,clustering,community
Katastrophe,1216,16,270,0.0,0.24615384615384617,0.016934368280521205,0
co2,1362,16,701,0.10294117647058823,0.2962962962962963,0.022741220139380132,1
Emissionen,1141,15,574,0.007352941176470588,0.3076923076923077,0.02318287215919693,1
Erderwärmung,975,13,234,0.11519607843137256,0.35555555555555557,0.02231523131043857,0
Aussterben,1001,12,50,0.44975490196078427,0.47058823529411764,0.010101796028400379,0
Abholzung,913,9,110,0.0,0.25806451612903225,0.025326076782943484,0
Meeresspiegelanstieg,417,9,56,0.025735294117647058,0.34782608695652173,0.015430880367107273,0
Biodiversitätsverlust,223,9,44,0.011029411764705881,0.26666666666666666,0.014972968393662293,0
anthropogen,68,8,22,0.3284313725490196,0.4444444444444444,0.011150051195681172,0
Treibhauseffekt,436,8,147,0.007352941176470588,0.27586206896551724,0.03245418155287917,1
extreme Wetterereignisse,215,7,34,0.008578431372549019,0.3333333333333333,0.015676406123346698,0
Wüstenbildung,129,7,24,0.125,0.3902439024390244,0.012457344270712597,0
erneuerbare Energien,852,6,45,0.14705882352941177,0.35555555555555557,0.019584339085961695,1
Gletscherschmelze,381,6,41,0.0,0.32653061224489793,0.023671183735222426,0
saubere Energie,400,5,32,0.0,0.2711864406779661,0.02607289548074713,1
grüne Wende,59,4,7,0.10416666666666667,0.3076923076923077,0.012485080749849201,1
Fehlinformationen,924,2,5,0.0,0.23529411764705882,0.011961003792432904,0
nachhaltige Biokraftstoffe,1,0,0,0.0,0.0,0.0,2
