keyword,post_count,degree,strength,betweenness,closeness,clustering,community
emissions,232,15,243,0.17401960784313728,0.2833333333333333,0.06423510207659165,2
global warming,181,13,168,0.34803921568627455,0.2833333333333333,0.07106137108280268,0
deforestation,155,11,111,0.22058823529411764,0.19540229885057472,0.06750772074211686,1
renewable energy,185,9,154,0.21323529411764702,0.2698412698412698,0.10026559014769713,2
extreme weather events,115,9,41,0.4791666666666668,0.34,0.0577186642451306,0
greenhouse effect,74,8,63,0.0,0.25757575757575757,0.09277772133899823,0
anthropogenic ,42,7,52,0.08823529411764705,0.2786885245901639,0.09147455213957716,1
co2,37,6,32,0.06985294117647058,0.2463768115942029,0.09499759680142635,0
sea level rise,46,6,20,0.20833333333333334,0.30357142857142855,0.051521019837630355,0
desertification,75,5,17,0.446078431372549,0.3269230769230769,0.05188758832294179,1
sustainable biofuels,37,4,26,0.11764705882352941,0.16831683168316833,0.10584310488647665,2
extinction,111,4,38,0.11764705882352941,0.22972972972972974,0.06000364882171328,1
loss of biodiversity,126,4,44,0.0,0.18478260869565216,0.09474302939548614,1
melting glaciers,76,4,10,0.0,0.27419354838709675,0.05949802294559264,0
green transition,91,3,76,0.0,0.18478260869565216,0.3515960902362348,2
clean energy,91,3,29,0.0,0.1452991452991453,0.16931595268166824,2
misinformation,80,2,2,0.029411764705882353,0.25,0.05474059469354257,0
catastrophe,42,1,2,0.0,0.16037735849056603,0.0,1
